1
1,05
1,1
1,149
1,199
1,248
1,298
1,347
1,396
1,444
1,493
1,542
1,59
1,638
1,687
1,735
1,782
1,83
1,878
1,925
1,972
2,019
2,066
2,113
2,16
2,207
2,253
2,299
2,345
2,391
2,437
2,483
2,529
2,574
2,619
2,664
2,709
2,754
2,799
2,843
2,888
2,932
2,976
3,02
3,064
3,107
3,151
3,194
3,237
3,28
3,323
3,366
3,408
3,451
3,493
3,535
3,577
3,619
3,66
3,702
3,743
3,784
3,825
3,866
3,907
3,947
3,988
4,028
4,068
4,108
4,148
4,187
4,227
4,266
4,305
4,344
4,383
4,421
4,46
4,498
4,536
4,574
4,612
4,65
4,687
4,724
4,761
4,798
4,835
4,872
4,908
4,945
4,981
5,017
5,053
5,088
5,124
5,159
5,194
5,229
5,264
5,299
5,333
5,367
5,402
5,435
5,469
5,503
5,536
5,57
5,603
5,636
5,668
5,701
5,733
5,766
5,798
5,829
5,861
5,893
5,924
5,955
5,986
6,017
6,048
6,078
6,108
6,139
6,168
6,198
6,228
6,257
6,286
6,315
6,344
6,373
6,401
6,43
6,458
6,486
6,514
6,541
6,569
6,596
6,623
6,65
6,676
6,703
6,729
6,755
6,781
6,807
6,832
6,858
6,883
6,908
6,933
6,957
6,982
7,006
7,03
7,054
7,077
7,101
7,124
7,147
7,17
7,193
7,215
7,238
7,26
7,282
7,303
7,325
7,346
7,367
7,388
7,409
7,43
7,45
7,47
7,49
7,51
7,53
7,549
7,568
7,587
7,606
7,625
7,643
7,661
7,679
7,697
7,714
7,732
7,749
7,766
7,783
7,799
7,816
7,832
7,848
7,864
7,879
7,895
7,91
7,925
7,94
7,954
7,968
7,983
7,997
8,01
8,024
8,037
8,05
8,063
8,076
8,088
8,1
8,113
8,124
8,136
8,147
8,159
8,17
8,18
8,191
8,201
8,212
8,221
8,231
8,241
8,25
8,259
8,268
8,277
8,285
8,293
8,301
8,309
8,317
8,324
8,331
8,338
8,345
8,351
8,358
8,364
8,369
8,375
8,38
8,386
8,391
8,395
8,4
8,404
8,408
8,412
8,416
8,419
8,422
8,425
8,428
8,43
8,433
8,435
8,436
8,438
8,439
8,441
8,441
8,442
8,443
8,443
8,443
8,443
8,442
8,442
8,441
8,439
8,438
8,437
8,435
8,433
8,43
8,428
8,425
8,422
8,419
8,415
8,412
8,408
8,404
8,399
8,395
8,39
8,385
8,379
8,374
8,368
8,362
8,356
8,349
8,342
8,335
8,328
8,321
8,313
8,305
8,297
8,288
8,28
8,271
8,262
8,252
8,243
8,233
8,223
8,212
8,202
8,191
8,18
8,169
8,157
8,145
8,133
8,121
8,108
8,095
8,082
8,069
8,055
8,042
8,028
8,013
7,999
7,984
7,969
7,954
7,938
7,922
7,906
7,89
7,874
7,857
7,84
7,822
7,805
7,787
7,769
7,751
7,732
7,713
7,694
7,675
7,655
7,636
7,615
7,595
7,574
7,554
7,532
7,511
7,489
7,468
7,445
7,423
7,4
7,377
7,354
7,331
7,307
7,283
7,259
7,234
7,21
7,185
7,159
7,134
7,108
7,082
7,056
7,029
7,002
6,975
6,948
6,92
6,892
6,864
6,835
6,807
